name,data_per_month,call_minutes,text_messages,price_initial,mobile_carrier_id,carrier_url
[프로모션] A LTE선택형 100분 15GB,15G(초과시 속도제한),100,100,22000,8,https://www.amobile.co.kr/plan/60887
알뜰A 데이터 1G(1Mbps),1000,-1,-1,20790,8,https://www.amobile.co.kr/plan/60859
[프로모션] 알뜰A 데이터 11G,11G+매일 2G(매일 2GB + 3mbps),-1,-1,27390,8,https://www.amobile.co.kr/plan/60894
알뜰 A LTE 99,2000,50,30,3740,8,https://www.amobile.co.kr/plan/60889
[프로모션] 알뜰A LTE 베이직,500,100,100,3300,8,https://www.amobile.co.kr/plan/60892
[프로모션] 알뜰A LTE 라이트,100,250,80,2200,8,https://www.amobile.co.kr/plan/60891
[프로모션] A LTE 6000,500,230,100,3300,8,https://www.amobile.co.kr/plan/60880
[프로모션] A LTE데이터 1G,1000,50,30,2640,8,https://www.amobile.co.kr/plan/60881
[프로모션] A 올라잇 1G/150분,1000,150,100,3850,8,https://www.amobile.co.kr/plan/60876
[프로모션] A 올라잇 2.5G/200분,2500,200,200,5500,8,https://www.amobile.co.kr/plan/60877
[프로모션] A 올라잇 4.5G/100분,4500,100,100,6600,8,https://www.amobile.co.kr/plan/60878
[프로모션] A 올라잇 5G/200분,5000,200,100,7700,8,https://www.amobile.co.kr/plan/60879
[프로모션] A 올라잇 7G+,7000,-1,-1,13200,8,https://www.amobile.co.kr/plan/60895
[프로모션] A 데이터 ON 비디오,100000,-1,-1,32700,8,https://www.amobile.co.kr/plan/60896
[프로모션] A LTE선택형 300분 15GB,15000,300,300,24200,8,https://www.amobile.co.kr/plan/60888
알뜰 A LTE 77,0,200,50,2530,8,https://www.amobile.co.kr/plan/60872
A LTE 데이터 500M,500,0,0,3740,8,https://www.amobile.co.kr/plan/60861
A LTE 데이터 300M,300,0,0,3410,8,https://www.amobile.co.kr/plan/60862
A LTE선택형 180분 6GB(1Mbps),6000,180,180,29700,8,https://www.amobile.co.kr/plan/60863
A LTE선택형 180분 3GB(1Mbps),3000,180,180,26400,8,https://www.amobile.co.kr/plan/60864
A LTE선택형 180분 2GB,2000,180,180,24200,8,https://www.amobile.co.kr/plan/60865
A LTE선택형 180분 1GB,1000,180,180,19800,8,https://www.amobile.co.kr/plan/60866
A LTE선택형 180분 250M,250,180,180,18700,8,https://www.amobile.co.kr/plan/60867
A LTE선택형 100분 6GB(1Mbps),6000,100,100,23650,8,https://www.amobile.co.kr/plan/60885
A LTE선택형 100분 3GB(1Mbps),3000,100,100,23100,8,https://www.amobile.co.kr/plan/60868
A LTE선택형 100분 2GB(1Mbps),2000,100,100,20900,8,https://www.amobile.co.kr/plan/60869
A LTE선택형 100분 10GB(1Mbps),10000,100,100,26950,8,https://www.amobile.co.kr/plan/60886
A LTE선택형 100분 250M(1Mbps),250,100,100,13200,8,https://www.amobile.co.kr/plan/60870
A LTE선택형 100분 1GB(1Mbps),1000,100,100,19800,8,https://www.amobile.co.kr/plan/60871
알뜰A 데이터 6G(1Mbps),6000,-1,-1,32890,8,https://www.amobile.co.kr/plan/60858
알뜰A 데이터 2G(1Mbps),2000,-1,-1,25190,8,https://www.amobile.co.kr/plan/60893
알뜰A 데이터 300M(1Mbps),300,-1,-1,19690,8,https://www.amobile.co.kr/plan/60860
알뜰A LTE 62(1Mbps),6000,350,350,33000,8,https://www.amobile.co.kr/plan/60890
알뜰A LTE 52(1Mbps),2500,250,250,26400,8,https://www.amobile.co.kr/plan/60856
알뜰A LTE 42(1Mbps),1500,200,200,20900,8,https://www.amobile.co.kr/plan/60857
알뜰A LTE 34(1Mbps),750,160,200,18700,8,https://www.amobile.co.kr/plan/60873
A스마트디바이스20G,20GB(속도제한),0,0,13200,8,https://www.amobile.co.kr/plan/60854
A스마트디바이스10G,10GB(속도제한),0,0,9900,8,https://www.amobile.co.kr/plan/60855
[프로모션] 5G 슬림,10000,-1,-1,27500,8,https://www.amobile.co.kr/plan/60897
[프로모션] A 5G 스페셜,200000,-1,-1,44000,8,https://www.amobile.co.kr/plan/60899
[프로모션] 더 빠른 110GB+,110000,-1,-1,37400,8,https://www.amobile.co.kr/plan/60898
[프로모션] A 시니어 2G+,2GB+400Kbps,-1,-1,5500,8,https://www.amobile.co.kr/plan/60874
[프로모션] A 시니어 4G+,4GB+400Kbps,-1,-1,6600,8,https://www.amobile.co.kr/plan/60875
[프로모션] A LTE 차단형 스마트,500,230,100,4400,8,https://www.amobile.co.kr/plan/60884
[프로모션] A LTE 차단형 라이트,100,250,80,3300,8,https://www.amobile.co.kr/plan/60883
[프로모션] A LTE 차단형 베이직,500,100,100,3300,8,https://www.amobile.co.kr/plan/60882
