name,data_per_month,data_per_day,call_minutes,text_messages,price_initial,mobile_carrier_id,carrier_url
DREAM P0,0,,0,0,0,1,https://dreammobile.kr/view/service/plans.aspx
번호만 드림,0,,0,0,2200,1,https://dreammobile.kr/view/service/plans.aspx
DREAM 4,100,,50,30,4950,1,https://dreammobile.kr/view/service/plans.aspx
DREAM P6,0,,0,0,6600,1,https://dreammobile.kr/view/service/plans.aspx
DREAM P9,0,,0,0,9900,1,https://dreammobile.kr/view/service/plans.aspx
DREAM 9,1000,,0,0,9900,1,https://dreammobile.kr/view/service/plans.aspx
DREAM 스마트12D,10000,,0,0,12100,1,https://dreammobile.kr/view/service/plans.aspx
안심시켜 드림,1000,,9999,9999,17600,1,https://dreammobile.kr/view/service/plans.aspx
DREAM 17,750,,130,9999,17930,1,https://dreammobile.kr/view/service/plans.aspx
DREAM 19,2000,,100,100,19800,1,https://dreammobile.kr/view/service/plans.aspx
DREAM 스마트18D,20000,,0,0,20000,1,https://dreammobile.kr/view/service/plans.aspx
DREAM 22T,750,,34000,20000,22000,1,https://dreammobile.kr/view/service/plans.aspx
DREAM 24,2560,,250,9999,24970,1,https://dreammobile.kr/view/service/plans.aspx
DREAM 27,6000,,100,100,27500,1,https://dreammobile.kr/view/service/plans.aspx
DREAM P27,2000,,100,100,27720,1,https://dreammobile.kr/view/service/plans.aspx
DREAM P28G,6000,,100,100,28050,1,https://dreammobile.kr/view/service/plans.aspx
DREAM 28,1000,,9999,9999,28050,1,https://dreammobile.kr/view/service/plans.aspx
DREAM P29,750,,130,9999,29920,1,https://dreammobile.kr/view/service/plans.aspx
DREAM 31,300,,9999,9999,31900,1,https://dreammobile.kr/view/service/plans.aspx
DREAM 33,10000,,100,100,33000,1,https://dreammobile.kr/view/service/plans.aspx
DREAM P33,10000,,100,100,33000,1,https://dreammobile.kr/view/service/plans.aspx
DREAM P36,300,,9999,9999,36000,1,https://dreammobile.kr/view/service/plans.aspx
마음껏 드림,100000,,9999,9999,39600,1,https://dreammobile.kr/view/service/plans.aspx
DREAMP39,15000,,100,100,39900,1,https://dreammobile.kr/view/service/plans.aspx
DREAM 41,6000,,9999,9999,41800,1,https://dreammobile.kr/view/service/plans.aspx
DREAM 42,10240,,9999,9999,42900,1,https://dreammobile.kr/view/service/plans.aspx
DREAM P44,10000,,100,100,44000,1,https://dreammobile.kr/view/service/plans.aspx
DREAM P56,10000,,9999,9999,56100,1,https://dreammobile.kr/view/service/plans.aspx
DREAM 72,15360,,9999,9999,72600,1,https://dreammobile.kr/view/service/plans.aspx
